Sample,Group
SRR2130675,Qatari
SRR2130381,Qatari
SRR2130811,Qatari
SRR2130659,Qatari
SRR2130566,Qatari
SRR2125347,Qatari
SRR2141758,Qatari
SRR2130804,Qatari
SRR2125410,Qatari
SRR2141742,Qatari
SRR2969844,Middle East
SRR2130876,Qatari
SRR2130544,Qatari
SRR2141738,Qatari
SRR2969732,Middle East
SRR2130563,Qatari
SRR2969745,Qatari
SRR2130973,Qatari
SRR2130483,Qatari
SRR2969888,Qatari
SRR2969920,Africa
SRR2130603,Qatari
SRR2969941,Africa
SRR2141784,Qatari
SRR2969700,Qatari
SRR2130673,Qatari
SRR2130428,Qatari
SRR2130482,Qatari
SRR2125397,Qatari
SRR2125294,Qatari
SRR2125282,Qatari
SRR2130699,Qatari
SRR2130638,Qatari
SRR2141769,Qatari
SRR2969674,Qatari
SRR2130506,Qatari
SRR2141788,Qatari
SRR2130614,Qatari
SRR2130710,Qatari
SRR2969681,Qatari
SRR2130734,Qatari
SRR2969914,Qatari
SRR2130609,Qatari
SRR2125354,Qatari
SRR2141780,Qatari
SRR2130868,Qatari
SRR2130730,Qatari
SRR2125281,Qatari
SRR2130462,Qatari
SRR2125342,Qatari
SRR2130534,Qatari
SRR2130792,Qatari
SRR2141757,Qatari
SRR2125403,Qatari
SRR2969772,Middle East
SRR2130636,Qatari
SRR2130542,Qatari
SRR2130397,Qatari
SRR2125383,Qatari
SRR2969715,Qatari
SRR2125421,Qatari
SRR2130968,Qatari
SRR2130654,Qatari
SRR2130794,Qatari
SRR2130383,Qatari
SRR2130413,Qatari
SRR2130932,Qatari
SRR2125318,Qatari
SRR2130436,Qatari
SRR2130561,Qatari
SRR2130490,Qatari
SRR2969789,Qatari
SRR2130916,Qatari
SRR2969845,Africa
SRR2130765,Qatari
SRR2130451,Qatari
SRR2969619,Qatari
SRR2969620,Qatari
SRR2130433,Qatari
SRR2130808,Qatari
SRR2130489,Qatari
SRR5264032,Qatari
SRR2130951,Qatari
SRR2969712,Qatari
SRR2130669,Qatari
SRR2969633,Qatari
SRR2969858,South Asia
SRR2130390,Qatari
SRR2130780,Qatari
SRR2130830,Qatari
SRR2969926,Middle East
SRR2130873,Qatari
SRR2130602,Qatari
SRR2130523,Qatari
SRR2969690,Middle East
SRR2130537,Qatari
SRR2141746,Qatari
SRR2130647,Qatari
SRR2969618,Qatari
SRR2125377,Qatari
SRR2130886,Qatari
SRR2969880,South Asia
SRR2969841,Middle East
SRR2130705,Qatari
SRR2969655,Qatari
SRR2130920,Qatari
SRR2130491,Qatari
SRR2130412,Qatari
SRR2130416,Qatari
SRR2130457,Qatari
SRR2969631,Qatari
SRR2969811,Middle East
SRR2130974,Qatari
SRR2125415,Qatari
SRR5264030,Qatari
SRR2969672,Qatari
SRR2969854,Middle East
SRR2125431,Qatari
SRR2125293,Qatari
SRR2969746,Qatari
SRR2969762,Middle East
SRR2125280,Qatari
SRR2141719,Qatari
SRR2130729,Qatari
SRR2130441,Qatari
SRR2130901,Qatari
SRR2969916,Middle East
SRR2130908,Qatari
SRR2125406,Qatari
SRR2130950,Qatari
SRR5264029,Qatari
SRR2130518,Qatari
SRR2130465,Qatari
SRR2969856,Middle East
SRR2130674,Qatari
SRR2130398,Qatari
SRR2969727,Middle East
SRR2130980,Qatari
SRR2130640,Qatari
SRR2969701,Qatari
SRR2141722,Qatari
SRR2969666,Qatari
SRR2130747,Qatari
SRR2130692,Qatari
SRR2969911,America
SRR2130584,Qatari
SRR2969626,Qatari
SRR2130672,Qatari
SRR2130401,Qatari
SRR2130844,Qatari
SRR2969688,Qatari
SRR2969801,Middle East
SRR2125388,Qatari
SRR2969773,Africa
SRR2141713,Qatari
SRR2130834,Qatari
SRR2130477,Qatari
SRR2125353,Qatari
SRR2969805,Qatari
SRR2130407,Qatari
SRR2130476,Qatari
SRR2969686,Middle East
SRR2130945,Qatari
SRR2130655,Qatari
SRR2969960,Middle East
SRR2969640,Qatari
SRR2125326,Qatari
SRR2969678,Qatari
SRR2130929,Qatari
SRR2141726,Qatari
SRR2130713,Qatari
SRR2130598,Qatari
SRR2130450,Qatari
SRR2130716,Qatari
SRR2969906,Middle East
SRR2969872,Africa
SRR2130612,Qatari
SRR2141794,Qatari
SRR2969638,Qatari
SRR2130977,Qatari
SRR2130619,Qatari
SRR2130874,Qatari
SRR2130676,Qatari
SRR2130440,Qatari
SRR2969944,Middle East
SRR2130795,Qatari
SRR2125400,Qatari
SRR2130954,Qatari
SRR2969630,Qatari
SRR2969613,Qatari
SRR2130853,Qatari
SRR2130819,Qatari
SRR2130962,Qatari
SRR2969930,Qatari
SRR2130444,Qatari
SRR2130429,Qatari
SRR2969646,Qatari
SRR2125405,Qatari
SRR2130915,Qatari
SRR2130622,Qatari
SRR2969641,Qatari
SRR2130770,Qatari
SRR2130548,Qatari
SRR2969950,Qatari
SRR2130549,Qatari
SRR2969952,South Asia
SRR2969824,Middle East
SRR2130937,Qatari
SRR2969828,Middle East
SRR2130541,Qatari
SRR2969735,South Asia
SRR2130921,Qatari
SRR2130864,Qatari
SRR2130378,Qatari
SRR2130494,Qatari
SRR2969704,Qatari
SRR2130861,Qatari
SRR2969859,Africa
SRR2969758,South Asia
SRR2130743,Qatari
SRR2130700,Qatari
SRR2130493,Qatari
SRR2969909,America
SRR2969851,Africa
SRR2141767,Qatari
SRR2130608,Qatari
SRR2130774,Qatari
SRR2130531,Qatari
SRR2969721,South Asia
SRR2969876,Middle East
SRR2130529,Qatari
SRR2969668,Qatari
SRR2141793,Qatari
SRR2969792,South Asia
SRR2130738,Qatari
SRR2130555,Qatari
SRR2130889,Qatari
SRR2125299,Qatari
SRR2130914,Qatari
SRR2125263,Qatari
SRR2969636,Qatari
SRR2969884,Middle East
SRR2130615,Qatari
SRR2130587,Qatari
SRR2969656,Qatari
SRR2125376,Qatari
SRR2130933,Qatari
SRR2969812,Middle East
SRR2130922,Qatari
SRR2969855,Middle East
SRR2969673,Qatari
SRR2130384,Qatari
SRR2969815,Middle East
SRR2130635,Qatari
SRR2969671,Qatari
SRR2130667,Qatari
SRR2130663,Qatari
SRR2969768,Africa
SRR2969702,Qatari
SRR2141795,Qatari
SRR2130471,Qatari
SRR2969752,South Asia
SRR2130498,Qatari
SRR2130904,Qatari
SRR2969810,Middle East
SRR2969933,Middle East
SRR2130434,Qatari
SRR2969664,Qatari
SRR2130787,Qatari
SRR2130907,Qatari
SRR2130634,Qatari
SRR2141775,Qatari
SRR2125385,Qatari
SRR2125327,Qatari
SRR2130445,Qatari
SRR2130454,Qatari
SRR2969917,Middle East
SRR2130657,Qatari
SRR2130776,Qatari
SRR2130526,Qatari
SRR2130668,Qatari
SRR2130545,Qatari
SRR2130758,Qatari
SRR2130762,Qatari
SRR2141743,Qatari
SRR2130594,Qatari
SRR2141765,Qatari
SRR2969958,South Asia
SRR2969650,Qatari
SRR2969698,Qatari
SRR2141768,Qatari
SRR2969714,Qatari
SRR2130865,Qatari
SRR2969621,Qatari
SRR2141779,Qatari
SRR2969775,Africa
SRR2130918,Qatari
SRR2969790,South Asia
SRR2130422,Qatari
SRR2130497,Qatari
SRR2969837,Africa
SRR2125411,Qatari
SRR2130533,Qatari
SRR2130408,Qatari
SRR2969947,South Asia
SRR2125425,Qatari
SRR2130418,Qatari
SRR2130624,Qatari
SRR2130797,Qatari
SRR2130751,Qatari
SRR2125402,Qatari
SRR2969730,Middle East
SRR2969691,South Asia
SRR2125291,Qatari
SRR2130790,Qatari
SRR2141785,Qatari
SRR2130631,Qatari
SRR2969784,Qatari
SRR2130825,Qatari
SRR2969823,Middle East
SRR2130517,Qatari
SRR2130760,Qatari
SRR2130610,Qatari
SRR2969659,Qatari
SRR5264031,Qatari
SRR2130653,Qatari
SRR2130817,Qatari
SRR2130521,Qatari
SRR2969818,Middle East
SRR2125394,Qatari
SRR2969829,America
SRR2125323,Qatari
SRR2125389,Qatari
SRR2130837,Qatari
SRR2130571,Qatari
SRR2130595,Qatari
SRR2969765,Middle East
SRR2130756,Qatari
SRR2130772,Qatari
SRR2969729,Qatari
SRR2125357,Qatari
SRR2969954,South Asia
SRR2130761,Qatari
SRR2130474,Qatari
SRR2969827,South Asia
SRR2969663,Qatari
SRR2141714,Qatari
SRR2969770,Africa
SRR2130966,Qatari
SRR2130881,Qatari
SRR2969662,Qatari
SRR2969852,Qatari
SRR2969724,South Asia
SRR2141759,Qatari
SRR2130572,Qatari
SRR2969806,Middle East
SRR2969869,Middle East
SRR2130879,Qatari
SRR2130617,Qatari
SRR2130680,Qatari
SRR2130410,Qatari
SRR2130745,Qatari
SRR2969929,Middle East
SRR2969717,Qatari
SRR2125333,Qatari
SRR5264035,Qatari
SRR2130472,Qatari
SRR2130649,Qatari
SRR2130740,Qatari
SRR2969651,Qatari
SRR2969943,Middle East
SRR2130559,Qatari
SRR2130438,Qatari
SRR2130665,Qatari
SRR2969843,Africa
SRR2969934,Middle East
SRR2969635,Qatari
SRR2130504,Qatari
SRR2125393,Qatari
SRR2130387,Qatari
SRR2969797,Middle East
SRR2130890,Qatari
SRR2130725,Qatari
SRR2130662,Qatari
SRR2125392,Qatari
SRR2141750,Qatari
SRR2130893,Qatari
SRR2125404,Qatari
SRR2969905,Middle East
SRR2130560,Qatari
SRR2130582,Qatari
SRR2130913,Qatari
SRR2969948,Qatari
SRR2969836,Africa
SRR2969890,Middle East
SRR2125368,Qatari
SRR2969928,Middle East
SRR2969878,Africa
SRR2969677,Qatari
SRR2125371,Qatari
SRR2130423,Qatari
SRR2130816,Qatari
SRR2130588,Qatari
SRR2130495,Qatari
SRR2125427,Qatari
SRR2130824,Qatari
SRR2130546,Qatari
SRR2130446,Qatari
SRR2130458,Qatari
SRR2969747,Qatari
SRR2130727,Qatari
SRR2130826,Qatari
SRR2130502,Qatari
SRR2969946,Middle East
SRR2130842,Qatari
SRR2130801,Qatari
SRR2130365,Qatari
SRR2141755,Qatari
SRR2141724,Qatari
SRR2125416,Qatari
SRR2130955,Qatari
SRR2969608,Qatari
SRR2125417,Qatari
SRR2969754,Middle East
SRR2969877,Middle East
SRR2130849,Qatari
SRR2130368,Qatari
SRR2130463,Qatari
SRR2130726,Qatari
SRR2141749,Qatari
SRR2125391,Qatari
SRR2969913,Qatari
SRR2130459,Qatari
SRR2130884,Qatari
SRR2130840,Qatari
SRR2969703,Qatari
SRR2130938,Qatari
SRR2125350,Qatari
SRR2969904,Middle East
SRR2130656,Qatari
SRR2969918,Middle East
SRR2130829,Qatari
SRR2130693,Qatari
SRR2125290,Qatari
SRR2969696,Qatari
SRR2130820,Qatari
SRR2130637,Qatari
SRR2125386,Qatari
SRR2130768,Qatari
SRR2130370,Qatari
SRR2969804,Africa
SRR2141764,Qatari
SRR2130766,Qatari
SRR2130475,Qatari
SRR2125277,Qatari
SRR2130812,Qatari
SRR2969923,Africa
SRR2130909,Qatari
SRR2130975,Qatari
SRR2141790,Qatari
SRR2130736,Qatari
SRR2125408,Qatari
SRR2130805,Qatari
SRR2969868,Middle East
SRR2969736,Middle East
SRR2125283,Qatari
SRR2130515,Qatari
SRR2130764,Qatari
SRR2130682,Qatari
SRR2130470,Qatari
SRR2969707,Qatari
SRR2141717,Qatari
SRR2141781,Qatari
SRR2130708,Qatari
SRR2969699,Qatari
SRR2969871,East Asia
SRR2130704,Qatari
SRR2130554,Qatari
SRR2130516,Qatari
SRR2969737,Middle East
SRR2130971,Qatari
SRR2125436,Qatari
SRR2969622,Qatari
SRR2969793,South Asia
SRR2969814,Middle East
SRR2130500,Qatari
SRR2130661,Qatari
SRR2130769,Qatari
SRR2130580,Qatari
SRR2130430,Qatari
SRR2130511,Qatari
SRR2130453,Qatari
SRR2969741,Middle East
SRR2141725,Qatari
SRR2125250,Qatari
SRR2969634,Qatari
SRR2969961,Middle East
SRR2130651,Qatari
SRR2130419,Qatari
SRR2969899,Middle East
SRR2130645,Qatari
SRR2130910,Qatari
SRR2130643,Qatari
SRR2125420,Qatari
SRR2125343,Qatari
SRR2141744,Qatari
SRR2130551,Qatari
SRR2130911,Qatari
SRR2130696,Qatari
SRR2969820,South Asia
SRR2130627,Qatari
SRR2969925,Middle East
SRR2130799,Qatari
SRR2130946,Qatari
SRR2125367,Qatari
SRR2130732,Qatari
SRR2125339,Qatari
SRR2141735,Qatari
SRR2969680,Qatari
SRR2969964,East Asia
SRR2125424,Qatari
SRR2969853,Middle East
SRR2969683,Qatari
SRR2130530,Qatari
SRR2130552,Qatari
SRR2969771,Africa
SRR2130783,Qatari
SRR2130925,Qatari
SRR2130592,Qatari
SRR2130949,Qatari
SRR2969694,Qatari
SRR2130404,Qatari
SRR2969759,South Asia
SRR2125374,Qatari
SRR2130403,Qatari
SRR2969849,Middle East
SRR2125321,Qatari
SRR2130646,Qatari
SRR2130648,Qatari
SRR2130939,Qatari
SRR2125382,Qatari
SRR2130755,Qatari
SRR2130717,Qatari
SRR2130520,Qatari
SRR2969723,South Asia
SRR2125395,Qatari
SRR2125378,Qatari
SRR2130917,Qatari
SRR2969609,Qatari
SRR2969834,South Asia
SRR2130958,Qatari
SRR2125300,Qatari
SRR2130618,Qatari
SRR2969848,Middle East
SRR2130862,Qatari
SRR2125286,Qatari
SRR2141791,Qatari
SRR2130366,Qatari
SRR2969846,Middle East
SRR2969938,Middle East
SRR2969942,Qatari
SRR2130496,Qatari
SRR2130425,Qatari
SRR2969676,Qatari
SRR2130866,Qatari
SRR2130478,Qatari
SRR2969708,Qatari
SRR2969748,Middle East
SRR2969798,South Asia
SRR2125338,Qatari
SRR2130527,Qatari
SRR2141774,Qatari
SRR2969922,Africa
SRR2969669,Qatari
SRR2969840,Middle East
SRR2125345,Qatari
SRR2130888,Qatari
SRR2969924,Middle East
SRR2130420,Qatari
SRR2125423,Qatari
SRR2130364,Qatari
SRR2130851,Qatari
SRR2130690,Qatari
SRR2969927,Middle East
SRR2969763,Middle East
SRR2130456,Qatari
SRR2141729,Qatari
SRR2130468,Qatari
SRR2125360,Qatari
SRR2130575,Qatari
SRR2130784,Qatari
SRR2130960,Qatari
SRR2969825,Middle East
SRR2141773,Qatari
SRR2130715,Qatari
SRR2130947,Qatari
SRR2125399,Qatari
SRR2130558,Qatari
SRR2141730,Qatari
SRR2969962,Middle East
SRR2969901,Middle East
